district	amt	amt_ratio	contracts	cont_ratio	avg_fundingDuration	fundingDurationRatio
3102	35196.61	0.0018	4	0.0078	0	0.0
2509	3713379.16	0.0048	36	0.0698	460	0.2521
2508	2672832.67	0.0039	36	0.0698	148	0.0811
2507	19529307.62	0.018	91	0.1764	373	0.2044
2506	3960125.13	0.005	49	0.095	7	0.0038
2505	19098364.91	0.0176	174	0.3372	213	0.1167
2504	318033.39	0.002	15	0.0291	104	0.057
2503	20556077.33	0.0188	42	0.0814	68	0.0373
2502	1438405.36	0.0029	24	0.0465	207	0.1134
2501	291667.12	0.002	9	0.0174	144	0.0789
1807	748201.84	0.0023	5	0.0097	0	0.0
1806	-4224.96	0.0017	1	0.0019	0	0.0
1805	93141.48	0.0018	3	0.0058	0	0.0
1804	2435008.54	0.0038	23	0.0446	323	0.177
1803	15473178.66	0.0146	21	0.0407	18	0.0099
1802	469829.35	0.0021	6	0.0116	272	0.149
1801	6555.65	0.0017	1	0.0019	0	0.0
1809	566556.05	0.0022	11	0.0213	181	0.0992
1808	17621.6	0.0017	1	0.0019	0	0.0
2002	971135.0	0.0025	3	0.0058	365	0.2
2003	3817.47	0.0017	1	0.0019	0	0.0
2004	43983.89	0.0018	11	0.0213	0	0.0
